Chinese,Russian,Category
獨孤九劍,Девять мечей Дugu,CombatSkill
辟邪劍法,Меч Пи Се (Изгоняющий зло),CombatSkill
玉女劍法,Меч Нефритовой Девы,CombatSkill
全真劍法,Меч школы Цюаньчжэнь,CombatSkill
太極劍法,Меч Тайцзи,CombatSkill
兩儀劍法,Меч Инь-Ян,CombatSkill
流雲劍法,Меч в облаках,CombatSkill
回風拂柳劍,Меч «Ветер в ивах»,CombatSkill
玄門劍法,Меч Врат Мистики,CombatSkill
落英神劍掌,Ладони «Божественного меча падающих цветов»,CombatSkill
天山六陽掌,Шесть ладоней Ян горы Тяньшань,CombatSkill
般若掌,Ладони Праджня-парамиты,CombatSkill
鐵砂掌,Ладонь Железного Песка,CombatSkill
寒冰綿掌,Холодные бархатные ладони,CombatSkill
摧心掌,Ладони, разрывающие сердце,CombatSkill
玄冥神掌,Ладони Божественного Мрака,CombatSkill
天山折梅手,Руки «Сломанной сливы Тяньшаня»,CombatSkill
鷹爪功,Искусство Орлиных Когтей,CombatSkill
擒拿手,Искусство захвата и обезвреживания,CombatSkill
分筋錯骨手,Руки разрыва сухожилий и вывиха костей,CombatSkill
一陽指,Один Луч Ян,CombatSkill
彈指神通,Божественное умение щелчка,CombatSkill
六脈神劍,Шесть Лучей Божественного Меча,CombatSkill
蛤蟆功,Искусство Жабы,CombatSkill
獅子吼,Рык Льва,CombatSkill
吸星大法,Великое искусство поглощения звёзд,CombatSkill
化功大法,Великое искусство рассеивания ци,CombatSkill
乾坤大挪移,Великое перенаправление Ци Неба и Земли,CombatSkill
小無相功,Искусство Малого Бесподобия,CombatSkill
斗轉星移,Перенос звёзд и сдвиг созвездий,CombatSkill
生死符,Талисманы жизни и смерти,CombatSkill
天山童姥功,Искусство Вечной Девы Тяньшаня,CombatSkill
凌波微步,Походка Волны,CombatSkill
梯雲縱,Взлёт по облакам,CombatSkill
踏雪無痕,Следа на снегу не остаётся,CombatSkill
燕返,Возврат ласточки,CombatSkill
驚鴻步,Походка летящего журавля,CombatSkill
七星步,Походка Семи Звёзд,CombatSkill
一葉渡江,Переправа на одном листе,CombatSkill
金雁功,Искусство Золотого Гуся,CombatSkill
壁虎遊牆功,Искусство ящерицы на стене,CombatSkill
逍遙遊,Свободное странствие,CombatSkill
白駒過隙,Миг, как пробег белого жеребца,CombatSkill
無影腳,Невидимый удар ногой,CombatSkill
佛山無影腳,Фошаньский невидимый удар ногой,CombatSkill
連環腿,Цепь ударов ногами,CombatSkill
無敵腿,Непобедимые ноги,CombatSkill
點穴,Дяньсюэ (удар по акупунктурным точкам),CombatSkill
解穴,Цзясюэ (освобождение от блокировки точек),CombatSkill
打穴手,Руки удара по точкам,CombatSkill
玉簫劍法,Меч под звуки нефритовой флейты,CombatSkill
打狗棒法,Посох против собак,CombatSkill
天羅地網勢,Сеть Неба и силки Земли,CombatSkill
長拳,Длинный кулак,CombatSkill
太祖長拳,Длинный кулак основателя династии,CombatSkill
伏虎拳,Кулак, побеждающий тигра,CombatSkill
黑虎拳,Кулак Чёрного Тигра,CombatSkill
醉拳,Кулак пьяницы,CombatSkill
螳螂拳,Кулак богомола,CombatSkill
猴拳,Кулак обезьяны,CombatSkill
蛇拳,Кулак змеи,CombatSkill
鶴拳,Кулак журавля,CombatSkill
八卦掌,Ладони Багуа,CombatSkill
形意拳,Кулак Синъи (форма и намерение),CombatSkill
迷蹤拳,Кулак-призрак,CombatSkill
金鐘罩,Золотой колокол,CombatSkill
鐵布衫,Железная рубаха,CombatSkill
十三太保橫練,Тринадцать телохранителей — закалка тела,CombatSkill
風捲殘雲,Ветер сметает тучи,CombatSkill
潛龍勿用,Скрытый дракон не действует,CombatSkill
見龍在田,Дракон явился в поле,CombatSkill
飛龍在天,Летящий дракон в небесах,CombatSkill
亢龍有悔,Дракон в зените — сожаление близко,CombatSkill
落花流水,Падающие цветы — текущая вода,CombatSkill
普通攻擊,Обычная атака,Animation
重擊,Мощная атака,Animation
連擊,Комбо-удар,Animation
突刺,Выпад,Animation
橫斬,Горизонтальный взмах,Animation
上挑,Подсечка снизу,Animation
下劈,Рубящий удар сверху,Animation
迴旋斬,Вращающийся удар,Animation
跳躍攻擊,Удар в прыжке,Animation
空中連擊,Комбо в воздухе,Animation
墜落攻擊,Удар с падения,Animation
反擊,Контрудар,Animation
完美反擊,Идеальный контрудар,Animation
格擋,Блок,Animation
完美格擋,Идеальный блок,Animation
閃避,Уклонение,Animation
翻滾閃避,Кувырок,Animation
後跳閃避,Прыжок назад,Animation
側移,Боковое уклонение,Animation
蹬牆跳,Отталкивание от стены,Animation
滑步,Скольжение,Animation
破防,Пробитие защиты,Animation
擊倒,Сбит с ног,Animation
浮空,Подброшен в воздух,Animation
硬直,Оглушение,Animation
絕技,Финальный удар,Animation
必殺技,Умение-убийца,Animation
奧義,Сокровенное умение,Animation
覺醒技,Пробуждение,Animation
連攜技,Совместный приём,Animation
氣,Ци (ресурс),Animation
內力,Внутренняя сила,Animation
耐力,Выносливость,Animation
架勢,Боевая стойка,Animation
進攻架勢,Атакующая стойка,Animation
防禦架勢,Защитная стойка,Animation
遊走架勢,Стойка странника,Animation
起手式,Начальная поза,Animation
收勢,Завершение техники,Animation
蓄力,Накопление силы,Animation
蓄力完成,Сила накоплена,Animation
閃避成功,Уклонение успешно,Animation
格擋成功,Блок успешен,Animation
反擊成功,Контрудар успешен,Animation
暴擊,Критический удар,Animation
會心一擊,Сокрушающий удар,Animation
輕功發動,Циньгун активирован,Animation
踏牆而行,Бег по стене,Animation
二段跳,Двойной прыжок,Animation
滑翔,Парение,Animation
隱身,Невидимость,Animation
暗殺,Скрытый удар,Animation
背刺,Удар в спину,Animation
金屬碰撞聲,Звон стали,Sounds
劍鳴,Пение меча,Sounds
刀嘯,Рёв клинка,Sounds
拳風,Свист кулака,Sounds
掌風,Взмах ладони,Sounds
破空聲,Разрезающий воздух звук,Sounds
骨骼碎裂聲,Хруст костей,Sounds
悶哼,Глухой стон,Sounds
怒吼,Рёв ярости,Sounds
輕功踏地聲,Шелест шагов циньгун,Sounds
衣袂飄動,Шелест шёлковых одежд,Sounds
爆炸聲,Взрыв,Sounds
火焰燃燒,Трещание огня,Sounds
寒冰碎裂,Хруст льда,Sounds
雷鳴,Гром,Sounds
風嘯,Воющий ветер,Sounds
流水聲,Журчание воды,Sounds
琴音,Звуки гуциня,Sounds
鐘聲,Благовест,Sounds
鼓聲,Бой барабанов,Sounds
劍入鞘,Меч в ножны,Sounds
氣爆聲,Хлопок ци,Sounds
閃電劈落,Удар молнии,Sounds
毒霧嘶嘶聲,Шипение ядовитого тумана,Sounds
金鐘罩嗡鳴,Гул Золотого Колокола,Sounds
龍吟,Рёв дракона,Sounds
鳳鳴,Пение феникса,Sounds
紅光,Багровое сияние,Effects
金光,Золотое сияние,Effects
青光,Изумрудное сияние,Effects
白光,Белое сияние,Effects
黑氣,Чёрная аура,Effects
火焰特效,Пламя,Effects
寒冰特效,Лёд,Effects
雷電特效,Молния,Effects
毒霧特效,Ядовитый туман,Effects
氣勁波動,Волна ци,Effects
劍氣縱橫,Перекрёстные клинки ци,Effects
殘影,След-призрак,Effects
煙塵,Облако пыли,Effects
血跡,Кровавый след,Effects
冰霜覆蓋,Покрыт инеем,Effects
火焰纏繞,Окутан пламенем,Effects
雷光纏身,Окутан молниями,Effects
中毒,Отравление,Status
流血,Кровотечение,Status
麻痺,Паралич,Status
內傷,Внутренняя травма,Status
暈眩,Головокружение,Status
疲勞,Усталость,Status
氣絕,Истощение ци,Status
凍結,Заморозка,Status
灼燒,Ожог,Status
感電,Поражение током,Status
沉默,Немота (невозможно использовать умения),Status
封穴,Блокировка точек (невозможно двигаться),Status
致盲,Ослепление,Status
減速,Замедление,Status
脆弱,Уязвимость (получает больше урона),Status
霸體,Неуязвимость,Status
無敵,Полная неуязвимость,Status
回復,Восстановление,Status
氣力恢復,Восстановление ци,Status
生命恢復,Восстановление жизни,Status
暴擊,Критический удар,Combat
會心一擊,Сокрушающий удар,Combat
破甲,Пробитие брони,Combat
穿透,Пронзание,Combat
濺射,Урон по области,Combat
真實傷害,Истинный урон (игнорирует защиту),Combat
物理傷害,Физический урон,DamageType
內力傷害,Урон ци,DamageType
火焰傷害,Огненный урон,DamageType
寒冰傷害,Ледяной урон,DamageType
雷電傷害,Урон молнией,DamageType
毒傷害,Ядовитый урон,DamageType
神聖傷害,Священный урон,DamageType
暗影傷害,Теневой урон,DamageType
五行相生,Гармония пяти элементов,Buff
五行相剋,Подавление пяти элементов,Debuff
陰陽調和,Баланс Инь и Ян,Buff
走火入魔,Потеря контроля над ци,Debuff
少林,Шаолинь,Sects
武當,Удан,Sects
峨嵋,Эмэй,Sects
崑崙,Куньлунь,Sects
崆峒,Кунтун,Sects
華山,Хуашань,Sects
青城,Цинчэн,Sects
點蒼,Дяньцан,Sects
唐門,Секта Тан,Sects
日月神教,Секта Солнца и Луны,Sects
明教,Минцзяо (Секта Огня),Sects
丐幫,Общество Нищих,Sects
全真教,Цюаньчжэнь (даосская школа),Sects
古墓派,Школа Древней Гробницы,Sects
逍遙派,Школа Свободного Странника,Sects
掌門,чжанмэнь (глава секты),Sects
師父,шиху (учитель),Sects
師兄,шихун (старший по школе),Sects
師弟,шиди (младший по школе),Sects
師姐,шицзе (старшая сестра по школе),Sects
師妹,шимэй (младшая сестра по школе),Sects
叛徒,пэньту (предатель школы),Sects
秘笈,мидзи (тайный манускрипт),Sects
內門弟子,внутренние ученики,Sects
外門弟子,внешние ученики,Sects
義兄,старший брат по клятве,Social
義弟,младший брат по клятве,Social
結拜兄弟,братья по клятве,Social
紅顏知己,возлюбленная и духовный друг,Social
知己,истинный друг,Social
恩人,благодетель,Social
仇人,враг,Social
岳父,тесть,Family
岳母,тёща,Family
未婚妻,невеста,Family
青梅竹馬,детская любовь,Family
朝廷,императорский двор,Military
皇帝,император,Military
將軍,генерал,Military
元帥,главнокомандующий,Military
禁軍,Императорская гвардия,Military
錦衣衛,Честь в парче (тайная полиция),Military
東廠,Восточное Ведомство (тайная служба),Military
細作,шпион,Military
邊關,пограничная крепость,Geography
中原,Чжунъюань (Центральные равнины),Geography
江南,Цзяннань,Geography
塞北,Сайбэй,Geography
西域,Сиюй (Западные регионы),Geography
崑崙山,гора Куньлунь,Geography
華山,гора Хуашань,Geography
峨嵋山,гора Эмэй,Geography
武當山,гора Удан,Geography
少林寺,монастырь Шаолинь,Geography
丐幫總舵,штаб-квартира Общества Нищих,Geography
臨安,Линань,Geography
汴京,Бяньцзин,Geography
襄陽,Сянъян,Geography
客棧,гостиница,Culture
酒樓,трактир,Culture
茶館,чайная,Culture
市集,рынок,Culture
衙門,чиновничья резиденция,Culture
皇宮,императорский дворец,Culture
道觀,даосский монастырь,Culture
寺,буддийский храм,Culture
墓,могила,Culture
絕壁,обрыв,Culture
竹林,бамбуковая роща,Culture
江湖兒女,сыны и дочери цзянху,Culture
俠女,сюйнюй (героиня уся),Culture
浪子,бродяга,Culture
隱士,отшельник,Culture
道士,даосский монах,Culture
和尚,буддийский монах,Culture
尼姑,буддийская монахиня,Culture
藥鋪,аптека,Culture
兵器譜,каталог оружия,Culture
英雄帖,приглашение героев,Culture
比武招親,турнир за руку невесты,Culture
守宮砂,песчинка целомудрия (тест на девственность),Culture
金瘡藥,зелье от ран,Items
還魂丹,пилюля возвращения души,Items
解毒散,порошок от отравления,Items
蒙汗藥,снадобье для оглушения,Items
信鴿,почтовый голубь,Items
密信,секретное письмо,Items
地圖,карта,Items
官印,печать чиновника,Items
玉佩,нефритовая подвеска,Items
令牌,жетон доступа,Items
銀兩,серебряные слитки (валюта),Items
銅錢,медяки,Items
儒家,конфуцианство,Philosophy
道家,даосизм,Philosophy
佛家,буддизм,Philosophy
陰陽,инь и ян,Philosophy
五行,усян (пять элементов),Philosophy
無為,увэй (недеяние),Philosophy
天道,небесный путь,Philosophy
人道,человеческий путь,Philosophy
因果,причина и следствие (карма),Philosophy
輪迴,перевоплощение,Philosophy
天命,небесный мандат,Philosophy
忠,чжун (преданность),Philosophy
孝,сяо (почтение родителям),Philosophy
仁,жэнь (гуманность),Philosophy
義,и (праведность),Philosophy
禮,ли (ритуал),Philosophy
智,чжи (мудрость),Philosophy
信,синь (доверие),Philosophy
你可願與我共赴江湖？,Ты готов со мной шагнуть в цзянху?,Dialogues
此仇不報，誓不為人！,Пока я не отомщу — не назову себя человеком!,Dialogues
俠之大者，為國為民。,Великий ся служит стране и народу.,Dialogues
江湖路遠，後會有期。,Дороги цзянху далеки — встретимся вновь.,Dialogues
閣下何人？報上名來！,Кто ты такой? Назови своё имя!,Dialogues
在下無名，路過而已。,Я — Безымянный, просто прохожий.,Dialogues
此地不宜久留，速速離去！,Здесь небезопасно — уходи скорее!,Dialogues
你我之間，恩怨已清。,Между нами больше нет долгов и обид.,Dialogues
天命難違，奈何奈何…,Небесному уставу не противиться… Что поделать…,Dialogues
一諾千金，豈能反悔？,Слово дороже тысячи золотых — как можно передумать?,Dialogues
風起雲湧，正是英雄用武之時！,Ветер поднимается, тучи сходятся — время для подвигов!,Dialogues
你可知得罪了誰？,Ты хоть понимаешь, с кем связался?,Dialogues
我願以命相護，不負君託。,Я отдам жизнь, чтобы оправдать твоё доверие.,Dialogues
山高水長，情義不變。,Горы высоки, воды длинны — но дружба не изменится.,Dialogues
此劍，只斬不義之人。,Этим мечом я рублю лишь нечестивых.,Dialogues
世間安得雙全法？,Где в этом мире найти путь, что устроит всех?,Dialogues
忍一時風平浪靜，退一步海闊天空。,Потерпи — и буря утихнет; отступи — и небо распахнётся.,Dialogues
若無相欠，怎會相見？,Если бы не был должником — не встретились бы.,Dialogues
生死有命，富貴在天。,Жизнь и смерть — судьба, богатство и почёт — от Небес.,Dialogues
英雄不問出處,Героя не спрашивают о происхождении,Dialogues
路見不平，拔刀相助,Увидел несправедливость — выхвати меч и помоги,Dialogues
滴水之恩，湧泉相報,За каплю доброты — отплати ключом,Dialogues
岳飛,Юэ Фэй,Characters
秦檜,Цинь Хуэй,Characters
韓世忠,Хань Шичжун,Characters
無名,Безымянный,Characters
影衛,Теневой Страж,Characters
青鸞,Цинлуань,Characters
白鶴,Байхэ (Белый Журавль),Characters
